index,Order ID,Date,Status,Fulfilment,ship-service-level,Category,Size,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code,B2B,fulfilled-by
119095,171-0000547-8192359,06/07/22,Shipped,Amazon,Expedited,Shirt,XL,Shipped,1,301,PIMPRI CHINCHWAD,MAHARASHTRA,412101,FALSE,
116211,171-0000902-4490745,06/09/22,Cancelled,Amazon,Expedited,Shirt,M,Unshipped,1,544,Howrah,WEST BENGAL,711104,FALSE,
119465,171-0001409-6228339,06/07/22,Shipped,Amazon,Expedited,Shirt,XS,Shipped,1,422,KODAD,TELANGANA,508206,FALSE,
84704,171-0003082-5110755,05/04/22,Shipped,Amazon,Expedited,T-shirt,L,Shipped,1,563,GREATER NOIDA,UTTAR PRADESH,201306,FALSE,
45437,171-0003738-2052324,04/03/22,Shipped,Amazon,Expedited,Shirt,XS,Shipped,1,379,FIROZABAD,UTTAR PRADESH,283203,FALSE,
72077,171-0005637-8167567,05-13-22,Shipped,Amazon,Expedited,T-shirt,XL,Shipped,1,579,NEW DELHI,DELHI,110087,FALSE,
91715,171-0005741-2261112,06-29-22,Shipped,Amazon,Expedited,Shirt,XS,Shipped,1,558,HYDERABAD,TELANGANA,500072,FALSE,
15029,171-0005999-3189913,04-21-22,Shipped,Amazon,Expedited,T-shirt,3XL,Shipped,1,1115,patiala,punjab,147001,FALSE,
1863,171-0006482-2020369,04-29-22,Delivered to Buyer,Merchant,Standard,Shirt,3XL,Shipped,1,368,HALDIA,WEST BENGAL,721607,FALSE,Easy Ship
87489,171-0007176-7613901,05/02/22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,352,VARANASI,UTTAR PRADESH,221005,FALSE,
5591,171-0007212-7125106,04-27-22,Delivered to Buyer,Merchant,Standard,T-shirt,M,Shipped,1,1092,MUMBAI,MAHARASHTRA,400076,FALSE,Easy Ship
9501,171-0008115-8007527,04-24-22,Delivered to Buyer,Merchant,Standard,T-shirt,XXL,Shipped,1,666,PATNA,BIHAR,800001,FALSE,Easy Ship
44762,171-0009705-3515534,04/03/22,Shipped,Amazon,Expedited,Shirt,S,Shipped,1,499,MUMBAI,MAHARASHTRA,400091,FALSE,
70651,171-0010890-9952371,05-14-22,Cancelled,Merchant,Standard,Trousers,XS,On the Way,0,337.14,Ahmedabad,Gujarat,382424,FALSE,Easy Ship
7749,171-0011058-1991551,04-25-22,Cancelled,Amazon,Expedited,T-shirt,XXL,Cancelled,0,,GREATER NOIDA,UTTAR PRADESH,201306,FALSE,
106422,171-0011886-1367508,06-16-22,Shipped,Amazon,Expedited,T-shirt,S,Shipped,1,635,DUMKA,JHARKHAND,814101,FALSE,
67817,171-0012413-5164338,05-16-22,Shipped,Amazon,Expedited,T-shirt,L,Shipped,1,599,GHAZIPUR,UTTAR PRADESH,233001,FALSE,
17614,171-0012414-2446770,04-20-22,Shipped,Amazon,Expedited,Shirt,M,Shipped,1,562,AGARTALA,TRIPURA,799001,FALSE,
75692,171-0012414-9949918,05/10/22,Cancelled,Amazon,Expedited,Wallet,Free,Unshipped,1,377,GURGAON,HARYANA,122003,FALSE,
